id,domain
1394,9ffyu1g9c.com
2660,99rdd.com
4989,9mod.com
5739,9to5mac.com
5967,9gag.com
6121,927589452.space
7149,91mobiles.com
7860,99acres.com
8537,91porna.com
8609,91porn.com
8655,91porny.com
9379,9jarocks.net
9633,99xo4.com
10752,988lifeline.org
10827,99taxis.mobi
11885,9to5google.com
12358,90minut.pl
12568,9anime.org.lv
12638,93soso.com
12685,9news.com.au
12936,99exch.live
14174,9hits.com
15279,99designs.com
15646,9news.com
15746,9xflix.eu
16679,9gtb.com
16831,98.in-addr.arpa
17557,981a.casino
17596,99.in-addr.arpa
19175,99app.com
19390,91cg1.com
21384,91wheels.com
21655,988dns.com
22058,9db.jp
22181,99bitcoins.com
23465,99exch.com
23718,9xflix.cymru
23800,99pay.biz
24660,9458.com
25674,989v87ii5.com
27741,9cache.com
28749,9vids.com
29096,9ljp.com
29291,93786631.xyz
29312,900172184.xyz
29332,908001204.xyz
29336,902246081.xyz
29354,9087561.xyz
29357,933837.xyz
29361,960671106.xyz
29370,94060576.xyz
29387,90236048.xyz
30345,99.co
31105,9game.cn
31697,9kvideo365.com
31783,91clubs.org
31926,9now.com.au
32268,96.in-addr.arpa
32755,9292.nl
34289,951dns.com
34611,9gti.com
35727,92betzone.com
35728,98totox44.com
36980,959105.xyz
37254,9nung.com
37798,90min.com
38775,91tcw.cc
39573,972mag.com
40465,95.in-addr.arpa
40943,99percentinvisible.org
41110,95516.com
42848,91app.com
43421,998law.com
44256,911memorial.org
44915,9ns1.com
46071,981666.xyz
47957,999.md
48212,9c9media.com
49342,999juegos.com
49894,9minecraft.net
50775,98-shop.com
51116,99.com
52456,9you.com
52734,9euro.com
53187,98totox45.com
53537,99.com.cn
53735,9splt.com
54081,9tv.co.il
55117,91jingyun.com
55844,91.in-addr.arpa
56125,99freelas.com.br
58434,987dns.com
60497,9yuconnect.com
63226,902.gr
63941,95528.com
65517,91cdncdn.com
65649,975140.com
65660,91exam.org
66284,9009699.com
66989,912688.com
67099,91160.com
67184,99kia.com
67343,91porn.fans
67685,91md.me
69991,92.in-addr.arpa
71306,91app.io
71604,90min.de
72532,9hentai.so
75422,97188.com
77553,918kiss.com
77958,9xbuddy.site
78334,91wzg.com
79177,985fm.ca
79300,94itv.app
79305,9453ff.com
79804,944sss.com
80324,91quanji.com
80732,99firms.com
80961,9ak9.com
81286,91miaoshou.com
81946,90jili.org
82393,943seo.com
83248,986fg.com
83902,9anime.digital
84023,990k-3.club
84318,9jarocks.com
84451,9096vip.com
84467,98pkr.com
84468,98win33.top
85395,9111.ru
85494,98hibajee.com
85978,94kkkb.com
86355,96xbajee.vip
86509,99itv.net
87072,99rpm.com
87985,9anime.me.uk
88157,98a98.com
88537,990k.com
88538,9kboss.com
88539,9xbet9.live
89031,9800.com.tw
89256,9q3wqxml.com
89640,94580.net
89745,999tt.net
90738,99mb.io
90932,99967899.com
91582,9bpjs777.com
92052,92playgame.top
92218,91-clubgame.org
92555,91clubservicein.in
92556,9jatrust.net
92557,9lotto.com
92558,9weiket.win
92559,9xlive.bet
95439,94.in-addr.arpa
96672,91fangyu.com
97298,92mim.com
97863,9to5toys.com
99591,9front.org
100596,9z-play.com
100698,999servers.com
101271,9can.com
102002,99math.com
102845,943bbo.com
102909,988114.net
102921,91ddos.com
103332,91.com
106538,9services.com
107301,91dun.vip
108488,94tusx.com
109933,997788.com
109993,9453yy.com
110601,9marks.org
110979,91sxu.com
111133,908df012d9bb72e6d26b41054588d758.com
112450,999h555.com
113005,999bd.com
113016,99spokes.com
114701,9573215.com
116023,9734232.com
116182,9800.com
117128,99bikes.com.au
117208,9527.click
117280,9appsapk.cc
118536,9xmovies.org.pl
118971,988win11.com
118972,98wn62.com
118973,99exch.red
118974,99fi3i9vj3.com
118975,99x666.com
118976,9animestvs.com
118977,9d4x.com
118978,9stump.com
118979,9te0rgyb.com
119809,99static.com
120399,9563245.com
121176,9and10news.com
122719,99cache.cc
122938,9liuda.com
123533,9453zz.com
123844,99brands.com
124143,98cdn.cn
124585,91xuanfei1.com
125041,91store.xyz
126270,91selfie.com
128206,911cha.com
129618,90sxu.com
130819,9to5linux.com
131590,958shop.com
131715,94tu.xyz
132394,918kissmobile.com
132930,911bl.com
133168,90zhibo.com
134000,90qingchun.com
